collected_date_year,collected_date_month,collected_date_day,collected_date_hour,collected_date_minute,gateway_id,device_address,data_type,data_value,status
2018,10,3,16,50,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,16,51,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,16,52,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,16,53,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,16,54,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,16,55,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,16,56,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,16,57,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,16,58,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,16,59,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,0,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,1,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,2,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,3,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,4,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,5,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,6,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,7,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,8,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,9,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,10,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,11,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,12,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,13,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,14,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,15,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,16,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,17,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,18,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,19,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,20,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,21,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,22,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,23,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,24,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,25,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,26,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,27,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,28,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,29,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,30,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,31,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,32,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,33,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,34,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,35,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,36,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,37,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,38,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,39,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,40,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,41,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,42,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,43,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,44,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
