,device_id,score,appliance_no,gateway_id,appliance_type,appliance_name,appliance_type_name
0,000D6F000E4B03C61,0.9919222516723464,20190326000030,ep18270486,B1,별채 전열기구,전열기구
1,000D6F000F745CBD1,0.9949526813880126,20190326000017,ep18270363,D4,사랑채 헤어드라이,헤어드라이어
2,000D6F000F7463451,0.9973494888299886,20190326000031,ep18270486,B2,별채 방2 전기방판,전기장판
3,000D6F0012574B891,0.9994952681388013,20190326000018,ep18270363,H4,사랑채커피포트,전기주전자
4,000D6F0012574FB71,0.9987381703470032,20190326000019,ep18270363,H5,사랑채전자렌지,전자레인지
5,000D6F00125756521,1.0,20190326000033,ep18270486,F0,별채TV,TV
6,000D6F00125756D71,0.9992429022082019,20190326000020,ep18270363,E0,사랑채세탁기,세탁기
7,000D6F001257586D1,0.9750094661113214,20190326000003,ep18270236,B0,안채보일러2,보일러
8,000D6F0012575F601,0.9982325463956571,20190326000037,ep18270486,J2,별채모니터,모니터
9,000D6F0012575F801,0.9941926524428734,20190326000038,ep18270486,J0,별채컴퓨터,컴퓨터
10,000D6F00125765B21,0.994570021467357,20190326000043,ep18270486,H2,별채에어프라이어,에어프라이어
11,000D6F00125772121,0.9823366136765077,20190326000007,ep18270236,B2,안채방2전기장판,전기장판
12,000D6F00125774611,0.9994952044422009,20190326000023,ep18270363,I0,사랑채청소기,청소기
13,000D6F00125779001,1.0,20190326000045,ep18270486,Z1,별채전자피아노,디지털피아노
14,000D6F001257791D1,0.9992445703493862,20190326000008,ep18270236,H5,안채전자렌지,전자레인지
15,000D6F001257796C1,0.9993686071473671,20190326000046,ep18270486,D4,별채헤어드라이,헤어드라이어
16,000D6F0012577B441,0.9954579863739591,20190326000009,ep18270236,F0,안채TV,TV
17,000D6F0012577C7C1,0.9997476022211005,20190326000025,ep18270363,F0,사랑채TV,TV
18,000D6F0012577D401,0.9988642099949521,20190326000026,ep18270363,G0,사랑채 스탠드,조명
19,000D6F0012577D5D1,0.9970955928778886,20190326000047,ep18270486,H0,별채전기밥솥,전기밥솥
20,000D6F001257D76F1,0.9747665909664396,20190326000010,ep18270236,B2,안채방1전기장판,전기장판
21,000D6F001257D8BA1,0.9979795428715746,20190326000011,ep18270236,B0,안채보일러1,보일러
22,000D6F001257E2981,1.0,20190326000015,ep18270236,E0,안채세탁기,세탁기
23,000D6F001257E60C1,0.9994952044422009,20190326000028,ep18270363,B2,사랑채 전기장판,전기장판
24,00158D00015094F21,0.9998373983739838,20180810000021,ep17470139,E2,스타일러,스타일러
25,00158D00015095171,0.9996281329796465,20180810000053,ep17470146,I0,청소기,청소기
26,00158D00015095211,0.9998373945968547,20180810000023,ep17470139,H1,식기세척기,식기세척기
27,00158D00015095221,0.9976319821702186,20180810000031,ep17470145,H0,전기밥솥,전기밥솥
28,00158D00015095261,0.9998608050110196,20180810000075,ep17470130,J2,모니터,모니터
29,00158D00015095281,0.9983042973286875,20180810000024,ep17470139,H0,전기밥솥,전기밥솥
30,00158D00015095321,0.9999303135888502,20180810000025,ep17470139,E0,세탁기,세탁기
31,00158D000151B1A51,0.9997912026726058,20180810000076,ep17470130,F0,TV,TV
32,00158D000151B1E71,0.9998839287786986,20180810000008,ep17470201,F0,TV,TV
33,00158D000151B1F71,1.0,20180810000066,ep17470143,A0,에어컨,에어컨
34,00158D000151B1F81,0.9753946146703807,20180810000083,ep17470173,F1,셋톱박스,셋톱박스
35,00158D000151B1F91,0.9996053486860432,20180810000093,ep17470141,I0,로봇청소기,청소기
36,00158D000151B1FB1,0.999582143603315,20180810000009,ep17470201,J0,컴퓨터,컴퓨터
37,00158D000151B1FF1,0.9994196034730928,20180810000032,ep17470145,I0,청소기,청소기
38,00158D000151B2011,1.0,20180810000033,ep17470145,J1,공유기,인터넷공유기
39,00158D000151B2031,1.0,20180810000094,ep17470141,J1,공유기,인터넷공유기
40,00158D000151B2041,0.9997606395710661,20180810000067,ep17470143,H5,전자레인지,전자레인지
41,00158D000151B2051,0.998167521050312,20180810000001,ep17470174,E0,세탁기,세탁기
42,00158D000151B2081,0.9979106695143467,20180810000010,ep17470201,I0,청소기,청소기
43,00158D000151B2091,0.9982357174362189,20180810000011,ep17470201,H0,전기밥솥,전기밥솥
44,00158D000151B20B1,0.9972372483922642,20180810000034,ep17470145,H5,전자레인지,전자레인지
45,00158D000151B20E1,0.9889661164205039,20181019000001,ep17470200,Z0,핸드폰충전기,충전기
46,00158D000151B20E1,0.9889661164205039,20181023000002,ep17470200,H0,전기밥솥,전기밥솥
47,00158D000151B20F1,0.9996524761077324,20181217000001,ep18270189,J3,프린터,프린터
48,00158D000151B2101,0.9902821991909811,20180810000068,ep17470143,E0,세탁기,세탁기
49,00158D000151B2111,0.9984910741230819,20180810000012,ep17470201,E1,건조기,건조기
